INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
270543471,06/28/2023,15:55:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,<18,M,BLACK HISPANIC,<18,M,BLACK,1001767,241659,40.829956,-73.936699,POINT (-73.936699 40.829956)
267811917,05/05/2023,22:10:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1016100,247338,40.845504,-73.88488,POINT (-73.88488 40.845504)
266473082,04/10/2023,22:45:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,<18,M,BLACK,18-24,M,WHITE HISPANIC,1001028,229571,40.796781,-73.939402,POINT (-73.939402 40.796781)
270033866,06/18/2023,02:54:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,987431,202125,40.72146254,-73.98852418,POINT (-73.98852418 40.72146254)
266473081,04/10/2023,22:00:00,BRONX,OUTSIDE,47,1,TRANSIT,(null),Y,<18,M,BLACK,<18,M,BLACK,1020990,256795,40.87144091,-73.86715728,POINT (-73.86715728 40.87144091)
268233287,05/14/2023,05:15:00,QUEENS,OUTSIDE,110,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1015938,211309,40.746616,-73.885638,POINT (-73.885638 40.746616)
265005885,03/12/2023,18:13:00,BRONX,OUTSIDE,42,0,STREET,(null),N,<18,M,BLACK,25-44,M,WHITE HISPANIC,1015164,243709,40.835548,-73.888282,POINT (-73.888282 40.835548)
266702450,04/14/2023,13:08:00,QUEENS,OUTSIDE,115,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1021490,214240,40.754639,-73.865584,POINT (-73.865584 40.754639)
262696073,01/29/2023,17:00:00,MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),<18,M,BLACK,1001038,226536,40.78845,-73.939372,POINT (-73.939372 40.78845)
262278067,01/21/2023,00:36:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,999634,235961,40.814322,-73.94442,POINT (-73.94442 40.814322)
263211697,02/07/2023,22:25:00,BRONX,OUTSIDE,46,0,STREET,FAST FOOD,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1011755,250279,,,
265584227,03/23/2023,22:10:00,BRONX,OUTSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),25-44,M,BLACK HISPANIC,1023214,259205,40.878047,-73.859101,POINT (-73.859101 40.878047)
263141403,02/06/2023,15:01:00,BROOKLYN,OUTSIDE,90,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,BLACK,1000575,198114,40.710442,-73.941114,POINT (-73.941114 40.710442)
267267402,04/25/2023,12:00:00,BROOKLYN,OUTSIDE,77,0,STREET,PVT HOUSE,N,25-44,M,BLACK,45-64,M,BLACK,1003857,184542,40.673181,-73.929313,POINT (-73.929313 40.673181)
266183424,04/04/2023,22:25:00,BRONX,OUTSIDE,48,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1015592,245489,40.84043016,-73.88672794,POINT (-73.88672794 40.84043016)
262268556,01/20/2023,10:20:00,QUEENS,OUTSIDE,100,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1035623,153051,40.586619,-73.815039,POINT (-73.815039 40.586619)
